,ds,y
0,2022-09-24 07:00:00,1322.41
1,2022-09-24 08:00:00,1329.24
2,2022-09-24 09:00:00,1326.59
3,2022-09-24 10:00:00,1325.99
4,2022-09-24 11:00:00,1326.99
5,2022-09-24 12:00:00,1331.99
6,2022-09-24 13:00:00,1342.71
7,2022-09-24 14:00:00,1342.38
8,2022-09-24 15:00:00,1339.78
9,2022-09-24 16:00:00,1337.82
10,2022-09-24 17:00:00,1336.37
11,2022-09-24 18:00:00,1343.69
12,2022-09-24 19:00:00,1342.31
13,2022-09-24 20:00:00,1342.0
14,2022-09-24 21:00:00,1322.96
15,2022-09-24 22:00:00,1314.49
16,2022-09-24 23:00:00,1317.13
17,2022-09-25 00:00:00,1321.57
18,2022-09-25 01:00:00,1321.58
19,2022-09-25 02:00:00,1321.16
20,2022-09-25 03:00:00,1329.38
21,2022-09-25 04:00:00,1327.64
22,2022-09-25 05:00:00,1322.68
23,2022-09-25 06:00:00,1326.31
24,2022-09-25 07:00:00,1332.84
25,2022-09-25 08:00:00,1330.55
26,2022-09-25 09:00:00,1323.11
27,2022-09-25 10:00:00,1325.31
28,2022-09-25 11:00:00,1329.33
29,2022-09-25 12:00:00,1323.57
30,2022-09-25 13:00:00,1306.11
31,2022-09-25 14:00:00,1306.0
32,2022-09-25 15:00:00,1310.79
33,2022-09-25 16:00:00,1303.54
34,2022-09-25 17:00:00,1297.38
35,2022-09-25 18:00:00,1296.51
36,2022-09-25 19:00:00,1299.82
37,2022-09-25 20:00:00,1292.35
38,2022-09-25 21:00:00,1285.53
39,2022-09-25 22:00:00,1290.94
40,2022-09-25 23:00:00,1294.63
41,2022-09-26 00:00:00,1293.04
42,2022-09-26 01:00:00,1301.37
43,2022-09-26 02:00:00,1304.37
44,2022-09-26 03:00:00,1303.23
45,2022-09-26 04:00:00,1294.33
46,2022-09-26 05:00:00,1290.69
47,2022-09-26 06:00:00,1280.23
48,2022-09-26 07:00:00,1295.44
49,2022-09-26 08:00:00,1320.71
50,2022-09-26 09:00:00,1309.73
51,2022-09-26 10:00:00,1311.71
52,2022-09-26 11:00:00,1297.22
53,2022-09-26 12:00:00,1315.85
54,2022-09-26 13:00:00,1324.79
55,2022-09-26 14:00:00,1330.01
56,2022-09-26 15:00:00,1325.17
57,2022-09-26 16:00:00,1322.46
58,2022-09-26 17:00:00,1323.04
59,2022-09-26 18:00:00,1330.95
60,2022-09-26 19:00:00,1330.38
61,2022-09-26 20:00:00,1324.87
62,2022-09-26 21:00:00,1317.19
63,2022-09-26 22:00:00,1327.44
64,2022-09-26 23:00:00,1336.17
65,2022-09-27 00:00:00,1342.83
66,2022-09-27 01:00:00,1367.05
67,2022-09-27 02:00:00,1376.42
68,2022-09-27 03:00:00,1385.66
69,2022-09-27 04:00:00,1380.41
70,2022-09-27 05:00:00,1386.82
71,2022-09-27 06:00:00,1384.03
72,2022-09-27 07:00:00,1382.33
73,2022-09-27 08:00:00,1378.33
74,2022-09-27 09:00:00,1384.41
75,2022-09-27 10:00:00,1387.02
76,2022-09-27 11:00:00,1388.81
77,2022-09-27 12:00:00,1392.06
78,2022-09-27 13:00:00,1388.0
79,2022-09-27 14:00:00,1388.36
80,2022-09-27 15:00:00,1365.18
81,2022-09-27 16:00:00,1331.83
82,2022-09-27 17:00:00,1314.3
83,2022-09-27 18:00:00,1323.11
84,2022-09-27 19:00:00,1324.6
85,2022-09-27 20:00:00,1324.88
86,2022-09-27 21:00:00,1322.05
87,2022-09-27 22:00:00,1330.01
88,2022-09-27 23:00:00,1328.02
89,2022-09-28 00:00:00,1333.63
90,2022-09-28 01:00:00,1310.78
91,2022-09-28 02:00:00,1277.15
92,2022-09-28 03:00:00,1287.23
93,2022-09-28 04:00:00,1283.93
94,2022-09-28 05:00:00,1286.46
95,2022-09-28 06:00:00,1277.47
96,2022-09-28 07:00:00,1285.53
97,2022-09-28 08:00:00,1282.67
98,2022-09-28 09:00:00,1273.24
99,2022-09-28 10:00:00,1302.75
100,2022-09-28 11:00:00,1295.31
101,2022-09-28 12:00:00,1304.29
102,2022-09-28 13:00:00,1310.58
103,2022-09-28 14:00:00,1325.77
104,2022-09-28 15:00:00,1331.78
105,2022-09-28 16:00:00,1329.35
106,2022-09-28 17:00:00,1322.05
107,2022-09-28 18:00:00,1333.18
108,2022-09-28 19:00:00,1334.12
109,2022-09-28 20:00:00,1350.44
110,2022-09-28 21:00:00,1345.44
111,2022-09-28 22:00:00,1338.04
112,2022-09-28 23:00:00,1337.2
113,2022-09-29 00:00:00,1334.21
114,2022-09-29 01:00:00,1344.48
115,2022-09-29 02:00:00,1336.71
116,2022-09-29 03:00:00,1342.0
117,2022-09-29 04:00:00,1341.26
118,2022-09-29 05:00:00,1332.35
119,2022-09-29 06:00:00,1328.58
120,2022-09-29 07:00:00,1322.0
121,2022-09-29 08:00:00,1324.24
122,2022-09-29 09:00:00,1337.0
123,2022-09-29 10:00:00,1336.7
124,2022-09-29 11:00:00,1336.56
125,2022-09-29 12:00:00,1319.88
126,2022-09-29 13:00:00,1301.1
127,2022-09-29 14:00:00,1320.22
128,2022-09-29 15:00:00,1326.8
129,2022-09-29 16:00:00,1337.45
130,2022-09-29 17:00:00,1326.53
131,2022-09-29 18:00:00,1326.86
132,2022-09-29 19:00:00,1333.31
133,2022-09-29 20:00:00,1337.81
134,2022-09-29 21:00:00,1332.68
135,2022-09-29 22:00:00,1329.28
136,2022-09-29 23:00:00,1335.7
137,2022-09-30 00:00:00,1337.51
138,2022-09-30 01:00:00,1335.97
139,2022-09-30 02:00:00,1326.39
140,2022-09-30 03:00:00,1327.49
141,2022-09-30 04:00:00,1328.49
142,2022-09-30 05:00:00,1329.87
143,2022-09-30 06:00:00,1332.98
144,2022-09-30 07:00:00,1339.88
145,2022-09-30 08:00:00,1348.6
146,2022-09-30 09:00:00,1342.47
147,2022-09-30 10:00:00,1337.08
148,2022-09-30 11:00:00,1330.8
149,2022-09-30 12:00:00,1327.48
150,2022-09-30 13:00:00,1335.63
151,2022-09-30 14:00:00,1360.09
152,2022-09-30 15:00:00,1351.09
153,2022-09-30 16:00:00,1352.24
154,2022-09-30 17:00:00,1345.28
155,2022-09-30 18:00:00,1347.65
