,ds,y
0,2022-09-26 11:00:00,1297.22
1,2022-09-26 12:00:00,1315.85
2,2022-09-26 13:00:00,1324.79
3,2022-09-26 14:00:00,1330.01
4,2022-09-26 15:00:00,1325.17
5,2022-09-26 16:00:00,1322.46
6,2022-09-26 17:00:00,1323.04
7,2022-09-26 18:00:00,1330.95
8,2022-09-26 19:00:00,1330.38
9,2022-09-26 20:00:00,1324.87
10,2022-09-26 21:00:00,1317.19
11,2022-09-26 22:00:00,1327.44
12,2022-09-26 23:00:00,1336.17
13,2022-09-27 00:00:00,1342.83
14,2022-09-27 01:00:00,1367.05
15,2022-09-27 02:00:00,1376.42
16,2022-09-27 03:00:00,1385.66
17,2022-09-27 04:00:00,1380.41
18,2022-09-27 05:00:00,1386.82
19,2022-09-27 06:00:00,1384.03
20,2022-09-27 07:00:00,1382.33
21,2022-09-27 08:00:00,1378.33
22,2022-09-27 09:00:00,1384.41
23,2022-09-27 10:00:00,1387.02
24,2022-09-27 11:00:00,1388.81
25,2022-09-27 12:00:00,1392.06
26,2022-09-27 13:00:00,1388.0
27,2022-09-27 14:00:00,1388.36
28,2022-09-27 15:00:00,1365.18
29,2022-09-27 16:00:00,1331.83
30,2022-09-27 17:00:00,1314.3
31,2022-09-27 18:00:00,1323.11
32,2022-09-27 19:00:00,1324.6
33,2022-09-27 20:00:00,1324.88
34,2022-09-27 21:00:00,1322.05
35,2022-09-27 22:00:00,1330.01
36,2022-09-27 23:00:00,1328.02
37,2022-09-28 00:00:00,1333.63
38,2022-09-28 01:00:00,1310.78
39,2022-09-28 02:00:00,1277.15
40,2022-09-28 03:00:00,1287.23
41,2022-09-28 04:00:00,1283.93
42,2022-09-28 05:00:00,1286.46
43,2022-09-28 06:00:00,1277.47
44,2022-09-28 07:00:00,1285.53
45,2022-09-28 08:00:00,1282.67
46,2022-09-28 09:00:00,1273.24
47,2022-09-28 10:00:00,1302.75
48,2022-09-28 11:00:00,1295.31
49,2022-09-28 12:00:00,1304.29
50,2022-09-28 13:00:00,1310.58
51,2022-09-28 14:00:00,1325.77
52,2022-09-28 15:00:00,1331.78
53,2022-09-28 16:00:00,1329.35
54,2022-09-28 17:00:00,1322.05
55,2022-09-28 18:00:00,1333.18
56,2022-09-28 19:00:00,1334.12
57,2022-09-28 20:00:00,1350.44
58,2022-09-28 21:00:00,1345.44
59,2022-09-28 22:00:00,1338.04
60,2022-09-28 23:00:00,1337.2
61,2022-09-29 00:00:00,1334.21
62,2022-09-29 01:00:00,1344.48
63,2022-09-29 02:00:00,1336.71
64,2022-09-29 03:00:00,1342.0
65,2022-09-29 04:00:00,1341.26
66,2022-09-29 05:00:00,1332.35
67,2022-09-29 06:00:00,1328.58
68,2022-09-29 07:00:00,1322.0
69,2022-09-29 08:00:00,1324.24
70,2022-09-29 09:00:00,1337.0
71,2022-09-29 10:00:00,1336.7
72,2022-09-29 11:00:00,1336.56
73,2022-09-29 12:00:00,1319.88
74,2022-09-29 13:00:00,1301.1
75,2022-09-29 14:00:00,1320.22
76,2022-09-29 15:00:00,1326.8
77,2022-09-29 16:00:00,1337.45
78,2022-09-29 17:00:00,1326.53
79,2022-09-29 18:00:00,1326.86
80,2022-09-29 19:00:00,1333.31
81,2022-09-29 20:00:00,1337.81
82,2022-09-29 21:00:00,1332.68
83,2022-09-29 22:00:00,1329.28
84,2022-09-29 23:00:00,1335.7
85,2022-09-30 00:00:00,1337.51
86,2022-09-30 01:00:00,1335.97
87,2022-09-30 02:00:00,1326.39
88,2022-09-30 03:00:00,1327.49
89,2022-09-30 04:00:00,1328.49
90,2022-09-30 05:00:00,1329.87
91,2022-09-30 06:00:00,1332.98
92,2022-09-30 07:00:00,1339.88
93,2022-09-30 08:00:00,1348.6
94,2022-09-30 09:00:00,1342.47
95,2022-09-30 10:00:00,1337.08
96,2022-09-30 11:00:00,1330.8
97,2022-09-30 12:00:00,1327.48
98,2022-09-30 13:00:00,1335.63
99,2022-09-30 14:00:00,1360.09
100,2022-09-30 15:00:00,1351.09
101,2022-09-30 16:00:00,1352.24
102,2022-09-30 17:00:00,1345.28
103,2022-09-30 18:00:00,1347.65
104,2022-09-30 19:00:00,1337.56
105,2022-09-30 20:00:00,1331.73
106,2022-09-30 21:00:00,1323.18
107,2022-09-30 22:00:00,1322.49
108,2022-09-30 23:00:00,1328.72
109,2022-10-01 00:00:00,1327.36
110,2022-10-01 01:00:00,1331.49
111,2022-10-01 02:00:00,1330.16
112,2022-10-01 03:00:00,1329.61
113,2022-10-01 04:00:00,1328.93
114,2022-10-01 05:00:00,1329.16
115,2022-10-01 06:00:00,1327.64
116,2022-10-01 07:00:00,1328.81
117,2022-10-01 08:00:00,1331.62
118,2022-10-01 09:00:00,1330.78
119,2022-10-01 10:00:00,1329.63
120,2022-10-01 11:00:00,1325.42
121,2022-10-01 12:00:00,1323.05
122,2022-10-01 13:00:00,1325.93
123,2022-10-01 14:00:00,1322.82
124,2022-10-01 15:00:00,1322.63
125,2022-10-01 16:00:00,1310.95
126,2022-10-01 17:00:00,1313.29
127,2022-10-01 18:00:00,1315.64
128,2022-10-01 19:00:00,1311.96
129,2022-10-01 20:00:00,1309.52
130,2022-10-01 21:00:00,1313.21
131,2022-10-01 22:00:00,1312.79
132,2022-10-01 23:00:00,1311.79
133,2022-10-02 00:00:00,1310.55
134,2022-10-02 01:00:00,1307.89
135,2022-10-02 02:00:00,1310.75
136,2022-10-02 03:00:00,1309.55
137,2022-10-02 04:00:00,1312.88
138,2022-10-02 05:00:00,1313.0
139,2022-10-02 06:00:00,1312.5
140,2022-10-02 07:00:00,1311.14
141,2022-10-02 08:00:00,1309.99
142,2022-10-02 09:00:00,1307.0
143,2022-10-02 10:00:00,1289.62
144,2022-10-02 11:00:00,1297.87
145,2022-10-02 12:00:00,1295.4
146,2022-10-02 13:00:00,1297.25
147,2022-10-02 14:00:00,1290.0
148,2022-10-02 15:00:00,1293.32
149,2022-10-02 16:00:00,1296.69
150,2022-10-02 17:00:00,1297.63
151,2022-10-02 18:00:00,1296.14
152,2022-10-02 19:00:00,1304.83
153,2022-10-02 20:00:00,1302.85
154,2022-10-02 21:00:00,1300.55
155,2022-10-02 22:00:00,1290.0
156,2022-10-02 23:00:00,1276.72
157,2022-10-03 00:00:00,1281.92
158,2022-10-03 01:00:00,1298.25
159,2022-10-03 02:00:00,1289.53
160,2022-10-03 03:00:00,1291.8
161,2022-10-03 04:00:00,1288.01
162,2022-10-03 05:00:00,1295.55
163,2022-10-03 06:00:00,1291.7
164,2022-10-03 07:00:00,1291.96
165,2022-10-03 08:00:00,1291.4
166,2022-10-03 09:00:00,1292.7
167,2022-10-03 10:00:00,1297.62
168,2022-10-03 11:00:00,1299.01
169,2022-10-03 12:00:00,1301.94
170,2022-10-03 13:00:00,1297.76
171,2022-10-03 14:00:00,1319.98
172,2022-10-03 15:00:00,1318.77
173,2022-10-03 16:00:00,1320.46
174,2022-10-03 17:00:00,1325.84
175,2022-10-03 18:00:00,1317.6
176,2022-10-03 19:00:00,1317.9
177,2022-10-03 20:00:00,1323.59
178,2022-10-03 21:00:00,1318.04
179,2022-10-03 22:00:00,1315.54
180,2022-10-03 23:00:00,1323.09
181,2022-10-04 00:00:00,1321.6
182,2022-10-04 01:00:00,1319.48
183,2022-10-04 02:00:00,1321.37
184,2022-10-04 03:00:00,1329.0
185,2022-10-04 04:00:00,1328.27
186,2022-10-04 05:00:00,1325.33
187,2022-10-04 06:00:00,1337.93
188,2022-10-04 07:00:00,1350.0
189,2022-10-04 08:00:00,1347.85
190,2022-10-04 09:00:00,1347.78
191,2022-10-04 10:00:00,1348.97
192,2022-10-04 11:00:00,1349.74
193,2022-10-04 12:00:00,1353.79
194,2022-10-04 13:00:00,1353.44
195,2022-10-04 14:00:00,1350.93
196,2022-10-04 15:00:00,1353.93
197,2022-10-04 16:00:00,1347.44
198,2022-10-04 17:00:00,1347.35
199,2022-10-04 18:00:00,1350.48
200,2022-10-04 19:00:00,1354.72
201,2022-10-04 20:00:00,1361.31
202,2022-10-04 21:00:00,1357.74
203,2022-10-04 22:00:00,1359.07
204,2022-10-04 23:00:00,1361.49
205,2022-10-05 00:00:00,1354.18
206,2022-10-05 01:00:00,1354.64
207,2022-10-05 02:00:00,1356.29
208,2022-10-05 03:00:00,1353.95
209,2022-10-05 04:00:00,1350.63
210,2022-10-05 05:00:00,1352.57
211,2022-10-05 06:00:00,1356.31
212,2022-10-05 07:00:00,1353.19
213,2022-10-05 08:00:00,1344.38
214,2022-10-05 09:00:00,1343.52
215,2022-10-05 10:00:00,1345.67
216,2022-10-05 11:00:00,1335.05
217,2022-10-05 12:00:00,1332.51
218,2022-10-05 13:00:00,1323.75
219,2022-10-05 14:00:00,1323.38
220,2022-10-05 15:00:00,1330.35
221,2022-10-05 16:00:00,1350.93
222,2022-10-05 17:00:00,1348.5
223,2022-10-05 18:00:00,1357.39
224,2022-10-05 19:00:00,1350.63
225,2022-10-05 20:00:00,1345.02
226,2022-10-05 21:00:00,1348.26
227,2022-10-05 22:00:00,1355.46
228,2022-10-05 23:00:00,1352.2
229,2022-10-06 00:00:00,1370.04
230,2022-10-06 01:00:00,1378.4
231,2022-10-06 02:00:00,1373.01
232,2022-10-06 03:00:00,1372.56
233,2022-10-06 04:00:00,1372.79
234,2022-10-06 05:00:00,1372.97
235,2022-10-06 06:00:00,1363.7
236,2022-10-06 07:00:00,1368.36
237,2022-10-06 08:00:00,1359.66
238,2022-10-06 09:00:00,1355.99
239,2022-10-06 10:00:00,1358.12
240,2022-10-06 11:00:00,1368.75
241,2022-10-06 12:00:00,1367.63
242,2022-10-06 13:00:00,1364.51
243,2022-10-06 14:00:00,1369.96
244,2022-10-06 15:00:00,1361.38
245,2022-10-06 16:00:00,1363.29
246,2022-10-06 17:00:00,1365.09
247,2022-10-06 18:00:00,1357.54
248,2022-10-06 19:00:00,1358.91
249,2022-10-06 20:00:00,1363.84
250,2022-10-06 21:00:00,1351.47
251,2022-10-06 22:00:00,1350.84
252,2022-10-06 23:00:00,1352.06
253,2022-10-07 00:00:00,1355.44
254,2022-10-07 01:00:00,1354.77
255,2022-10-07 02:00:00,1356.33
256,2022-10-07 03:00:00,1355.19
257,2022-10-07 04:00:00,1352.15
258,2022-10-07 05:00:00,1354.51
259,2022-10-07 06:00:00,1350.77
260,2022-10-07 07:00:00,1356.05
261,2022-10-07 08:00:00,1355.99
262,2022-10-07 09:00:00,1357.03
263,2022-10-07 10:00:00,1356.59
264,2022-10-07 11:00:00,1354.76
265,2022-10-07 12:00:00,1331.29
266,2022-10-07 13:00:00,1332.84
267,2022-10-07 14:00:00,1339.69
268,2022-10-07 15:00:00,1334.11
269,2022-10-07 16:00:00,1323.83
270,2022-10-07 17:00:00,1323.5
271,2022-10-07 18:00:00,1326.6
272,2022-10-07 19:00:00,1327.49
273,2022-10-07 20:00:00,1331.28
274,2022-10-07 21:00:00,1333.49
275,2022-10-07 22:00:00,1333.49
276,2022-10-07 23:00:00,1331.1
277,2022-10-08 00:00:00,1333.49
278,2022-10-08 01:00:00,1335.32
279,2022-10-08 02:00:00,1333.81
280,2022-10-08 03:00:00,1331.05
281,2022-10-08 04:00:00,1328.17
282,2022-10-08 05:00:00,1330.42
283,2022-10-08 06:00:00,1331.93
284,2022-10-08 07:00:00,1330.47
285,2022-10-08 08:00:00,1325.25
286,2022-10-08 09:00:00,1327.26
287,2022-10-08 10:00:00,1328.05
288,2022-10-08 11:00:00,1329.8
289,2022-10-08 12:00:00,1328.95
290,2022-10-08 13:00:00,1325.75
291,2022-10-08 14:00:00,1324.96
292,2022-10-08 15:00:00,1324.31
293,2022-10-08 16:00:00,1329.31
294,2022-10-08 17:00:00,1327.48
295,2022-10-08 18:00:00,1324.94
296,2022-10-08 19:00:00,1324.54
297,2022-10-08 20:00:00,1325.29
298,2022-10-08 21:00:00,1307.34
299,2022-10-08 22:00:00,1311.83
300,2022-10-08 23:00:00,1315.48
301,2022-10-09 00:00:00,1312.49
